Block,Day,Stop No,UDISE,School Name,Status,Latitude,Longitude,Google Maps Link,Leg From,Leg KM,Return To Godown KM,Day Total KM,Remarks
CHANDANKIYARI,1,1,20130103101,RAJKIYAKRIT M S BATBINOR,pending,23.675685,86.309028,"https://www.google.com/maps?q=23.675685,86.309028&z=17&hl=en",Godown,10.05,,,
CHANDANKIYARI,1,2,20130101801,RAJKIYAKRIT M S ALUARA,pending,23.697267,86.309862,"https://www.google.com/maps?q=23.697267,86.309862&z=17&hl=en",RAJKIYAKRIT M S BATBINOR,2.40,,,
CHANDANKIYARI,1,3,20130103001,RAJKIYAKRIT M S TALGARIYA,pending,23.700757,86.350917,"https://www.google.com/maps?q=23.700757,86.350917&z=17&hl=en",RAJKIYAKRIT M S ALUARA,4.20,,,
CHANDANKIYARI,1,4,20130105703,UPG RAJKIYAKRIT M S AMLABAD,pending,23.684927,86.375026,"https://www.google.com/maps?q=23.684927,86.375026&z=17&hl=en",RAJKIYAKRIT M S TALGARIYA,3.02,,,
CHANDANKIYARI,1,5,20130105412,UPG RAJKIYAKRIT M S BIRUBANDH,pending,23.664796,86.368952,"https://www.google.com/maps?q=23.664796,86.368952&z=17&hl=en",UPG RAJKIYAKRIT M S AMLABAD,2.32,,,
CHANDANKIYARI,1,6,20130102501,UPG RAJKIYAKRIT M S DEVGRAM,pending,23.667868,86.351676,"https://www.google.com/maps?q=23.667868,86.351676&z=17&hl=en",UPG RAJKIYAKRIT M S BIRUBANDH,1.79,,,
CHANDANKIYARI,1,7,20130106401,UPG RAJKIYAKRIT M S ASANSOL,pending,23.651992,86.35,"https://www.google.com/maps?q=23.651992,86.35&z=17&hl=en",UPG RAJKIYAKRIT M S DEVGRAM,1.77,,,
CHANDANKIYARI,1,8,20130105402,UPG RAJKIYAKRIT M S GAHIRA,pending,23.632817,86.381382,"https://www.google.com/maps?q=23.632817,86.381382&z=17&hl=en",UPG RAJKIYAKRIT M S ASANSOL,3.84,,,
CHANDANKIYARI,1,9,20130106804,UPG RAJKIYAKRIT M S BRAHMAN LAGHLA,pending,23.622179,86.391766,"https://www.google.com/maps?q=23.622179,86.391766&z=17&hl=en",UPG RAJKIYAKRIT M S GAHIRA,1.59,19.65,50.64,
CHANDANKIYARI,2,1,20130101101,RAJKIYAKRIT M S UDALBANI,pending,23.618433,86.280602,"https://www.google.com/maps?q=23.618433,86.280602&z=17&hl=en",Godown,10.13,,,
CHANDANKIYARI,2,2,20130101401,RAJKIYAKRIT M S CHANDRA,pending,23.59453,86.30324,"https://www.google.com/maps?q=23.59453,86.30324&z=17&hl=en",RAJKIYAKRIT M S UDALBANI,3.52,,,
CHANDANKIYARI,2,3,20130101406,UPG RAJKIYAKRIT M S CHAMRABAD,pending,23.588128,86.31249,"https://www.google.com/maps?q=23.588128,86.31249&z=17&hl=en",RAJKIYAKRIT M S CHANDRA,1.18,,,
CHANDANKIYARI,2,4,20130100301,RAJKIYAKRIT M S KUMIRDOBA,pending,23.566899,86.324093,"https://www.google.com/maps?q=23.566899,86.324093&z=17&hl=en",UPG RAJKIYAKRIT M S CHAMRABAD,2.64,,,
CHANDANKIYARI,2,5,20130101702,UPG RAJKIYAKRIT M S BARKAMA,pending,23.588809,86.34313,"https://www.google.com/maps?q=23.588809,86.34313&z=17&hl=en",RAJKIYAKRIT M S KUMIRDOBA,3.11,,,
CHANDANKIYARI,2,6,20130103902,UPG RAJKIYAKRIT M S BARAJORE,pending,23.60663,86.337713,"https://www.google.com/maps?q=23.60663,86.337713&z=17&hl=en",UPG RAJKIYAKRIT M S BARKAMA,2.06,,,
CHANDANKIYARI,2,7,20130104101,UPG RAJKIYAKRIT M S BOGULA,pending,23.607619,86.36633,"https://www.google.com/maps?q=23.607619,86.36633&z=17&hl=en",UPG RAJKIYAKRIT M S BARAJORE,2.92,,,
CHANDANKIYARI,2,8,20130104301,UPG RAJKIYAKRIT M S GALGALTAND,pending,23.5906,86.371524,"https://www.google.com/maps?q=23.5906,86.371524&z=17&hl=en",UPG RAJKIYAKRIT M S BOGULA,1.97,,,
CHANDANKIYARI,2,9,20130101606,UPG RAJKIYAKRIT M S CHANDANKIYARI BAZAR,pending,23.576374,86.360351,"https://www.google.com/maps?q=23.576374,86.360351&z=17&hl=en",UPG RAJKIYAKRIT M S GALGALTAND,1.95,19.33,48.81,
CHANDANKIYARI,3,1,20130100101,UPG RAJKIYAKRIT M S DEYULTAND,pending,23.546483,86.291601,"https://www.google.com/maps?q=23.546483,86.291601&z=17&hl=en",Godown,17.30,,,
CHANDANKIYARI,3,2,20130109601,UPG RAJKIYAKRIT M S DAMUDIH,pending,23.519633,86.274003,"https://www.google.com/maps?q=23.519633,86.274003&z=17&hl=en",UPG RAJKIYAKRIT M S DEYULTAND,3.48,,,
CHANDANKIYARI,3,3,20130111801,UPG RAJKIYAKRIT M S GOSAIDIH,pending,23.50289,86.254767,"https://www.google.com/maps?q=23.50289,86.254767&z=17&hl=en",UPG RAJKIYAKRIT M S DAMUDIH,2.70,,,
CHANDANKIYARI,3,4,20130107501,RAJKIYAKRIT M S KALIKAPUR,pending,23.464988,86.257514,"https://www.google.com/maps?q=23.464988,86.257514&z=17&hl=en",UPG RAJKIYAKRIT M S GOSAIDIH,4.22,,,
CHANDANKIYARI,3,5,20130107701,UPG RAJKIYAKRIT M S FUSRO,pending,23.431362,86.281546,"https://www.google.com/maps?q=23.431362,86.281546&z=17&hl=en",RAJKIYAKRIT M S KALIKAPUR,4.47,,,
CHANDANKIYARI,3,6,20130110105,RAJKIYAKRIT M S KHEDADIH,pending,23.454965,86.300513,"https://www.google.com/maps?q=23.454965,86.300513&z=17&hl=en",UPG RAJKIYAKRIT M S FUSRO,3.26,,,
CHANDANKIYARI,3,7,20130107401,UPG RAJKIYAKRIT M S BORIYADIH,pending,23.4876,86.320911,"https://www.google.com/maps?q=23.4876,86.320911&z=17&hl=en",RAJKIYAKRIT M S KHEDADIH,4.18,,,
CHANDANKIYARI,3,8,20130108601,RAJKIYAKRIT M S JHALBARDA,pending,23.506138,86.300942,"https://www.google.com/maps?q=23.506138,86.300942&z=17&hl=en",UPG RAJKIYAKRIT M S BORIYADIH,2.90,,,
CHANDANKIYARI,3,9,20130111703,RAJKIYAKRIT M S NAWDIHA,pending,23.513192,86.314969,"https://www.google.com/maps?q=23.513192,86.314969&z=17&hl=en",RAJKIYAKRIT M S JHALBARDA,1.63,21.69,65.85,
CHANDANKIYARI,4,1,20130101602,RAJKIYAKRIT M S CHANDANKIYARI (GIRLS),pending,23.569156,86.363976,"https://www.google.com/maps?q=23.569156,86.363976&z=17&hl=en",Godown,20.12,,,
CHANDANKIYARI,4,2,20130109802,UPG RAJKIYAKRIT M S GHAGHARGORA,pending,23.549281,86.373535,"https://www.google.com/maps?q=23.549281,86.373535&z=17&hl=en",RAJKIYAKRIT M S CHANDANKIYARI (GIRLS),2.42,,,
CHANDANKIYARI,4,3,20130109701,UPG RAJKIYAKRIT M S CHANDIPUR,pending,23.547131,86.345815,"https://www.google.com/maps?q=23.547131,86.345815&z=17&hl=en",UPG RAJKIYAKRIT M S GHAGHARGORA,2.84,,,
CHANDANKIYARI,4,4,20130109901,UPG RAJKIYAKRIT M S BODMA,pending,23.527481,86.347228,"https://www.google.com/maps?q=23.527481,86.347228&z=17&hl=en",UPG RAJKIYAKRIT M S CHANDIPUR,2.19,,,
CHANDANKIYARI,4,5,20130112701,UPG RAJKIYAKRIT M S BANSTORA,pending,23.530292,86.331596,"https://www.google.com/maps?q=23.530292,86.331596&z=17&hl=en",UPG RAJKIYAKRIT M S BODMA,1.62,,,
CHANDANKIYARI,4,6,20130109301,UPG RAJKIYAKRIT M S CHIRDA,pending,23.467908,86.354382,"https://www.google.com/maps?q=23.467908,86.354382&z=17&hl=en",UPG RAJKIYAKRIT M S BANSTORA,7.32,,,
CHANDANKIYARI,4,7,20130100901,RAJKIYAKRIT M S SIMULIYA,pending,23.606369,86.404729,"https://www.google.com/maps?q=23.606369,86.404729&z=17&hl=en",UPG RAJKIYAKRIT M S CHIRDA,16.23,,,
CHANDANKIYARI,4,8,20130100701,RAJKIYAKRIT M S MADRA,pending,23.604418,86.421506,"https://www.google.com/maps?q=23.604418,86.421506&z=17&hl=en",RAJKIYAKRIT M S SIMULIYA,1.72,,,
