Block,Day,Schools,First School,First UDISE,Godown To First KM,Last School,Last UDISE,Last To Godown KM,Day Total KM
CHANDANKIYARI,1,9,RAJKIYAKRIT M S BATBINOR,20130103101,10.05,UPG RAJKIYAKRIT M S BRAHMAN LAGHLA,20130106804,19.65,50.64
CHANDANKIYARI,2,9,RAJKIYAKRIT M S UDALBANI,20130101101,10.13,UPG RAJKIYAKRIT M S CHANDANKIYARI BAZAR,20130101606,19.33,48.81
CHANDANKIYARI,3,9,UPG RAJKIYAKRIT M S DEYULTAND,20130100101,17.30,RAJKIYAKRIT M S NAWDIHA,20130111703,21.69,65.85
CHANDANKIYARI,4,9,RAJKIYAKRIT M S CHANDANKIYARI (GIRLS),20130101602,20.12,RAJKIYAKRIT M S BHOJUDIH,20130102101,23.12,81.88
CHANDANKIYARI,5,2,UPG RAJKIYAKRIT M S GUNDLIBHITHA,20130101901,20.78,UPG RAJKIYAKRIT M S GOURIGRAM,20130104901,21.93,44.48
CHANDRAPURA,1,9,UPG P S BAGHMARITAND,20131300608,6.95,RAJKIYAKRIT P S PARSATAND (D-2018),20131300611,9.74,24.17
CHANDRAPURA,2,9,RAJKIYAKRIT P S BUDHIDIH,20131303701,9.12,RAJKIYAKRIT M S CHANDANABAD,20131301402,11.83,27.36
CHANDRAPURA,3,9,RAJKIYAKRIT M S KARMATAND,20131301301,10.16,UPG P S CHIRUBAD,20131303503,13.67,29.45
CHANDRAPURA,4,9,SSA NPS KHANUDIH,20131300410,11.64,UPG RAJKIYAKRIT M S JARUA MADANPUR,20131301001,14.14,30.83
CHANDRAPURA,5,9,UPG P S JHARNABASTI,20131300606,11.92,UPG P S PIPRADIH,20131301603,15.83,34.36
CHANDRAPURA,6,9,RAJKIYAKRIT P S HARDHOWA,20131300901,13.07,UPG P S TURITOLA,20131303105,15.88,34.89
CHANDRAPURA,7,9,UPG P S AAMTOLA,20131303404,13.30,UPG P S BAHIYARHIR,20131302703,16.61,36.87
CHANDRAPURA,8,9,UPG RAJKIYAKRIT M S NARRA,20131303102,15.31,RAJKIYAKRIT GOVT. SECONDARY SCHOOL BANDIYO,20131302401,20.68,44.00
CHANDRAPURA,9,9,RAJKIYAKRIT P S PIPRADIH STATION,20131300401,16.27,UPG P S BHANDARIDAH COLONY,20131302203,19.13,42.04
CHANDRAPURA,10,9,UPG RAJKIYAKRIT M S PAPLO,20131303301,16.27,UPG RAJKIYAKRIT M S KHALCHO,20131302901,18.25,41.60
CHANDRAPURA,11,3,UPG P S DANDUDIH,20131302805,17.43,JHARKHAND BALIKA AWASIYA VIDYALAYA CHANDRAPURA,20131300419,39.12,89.85
CHAS,1,9,UPG RAJKIYAKRIT M S DUMARJOR,20130308801,2.09,UPG RAJKIYAKRIT M S CHIRACHAS,20130326702,4.58,17.36
CHAS,2,9,RAJKIYAKRIT M S PUPUNAKI,20130314901,2.29,PM SHRI RAJKIYAKRIT M S MARAFARI,20130317501,10.46,32.15
CHAS,3,9,UPG RAJKIYAKRIT M S DHOBNI,20130314301,4.70,UPG RAJKIYAKRIT M S BARPOKHAR,20130313801,12.25,29.53
CHAS,4,9,RAJKIYAKRIT M S DHANDABAR,20130314502,5.11,UPG RAJKIYAKRIT MS BABUDIH (URDU),20130313601,14.45,42.09
CHAS,5,9,RAJKIYAKRIT M S SECTOR-2,20130307431,8.29,RAJKIYAKRIT M S GHATIYALI,20130300101,13.90,52.64
CHAS,6,9,UPG RAJKIYAKRIT M S ASANSOL,20130328903,8.87,BASIC SCHOOL DABARTUPRA,20130313701,17.32,51.14
CHAS,7,6,RAJKIYAKRIT M S KURA,20130310501,12.20,RAJKIYAKRIT M S PUNDRU,20130314101,17.45,41.53
JARIDIH,1,9,RAJKIYAKRIT P S TUPKADIH (URDU),20130700403,16.30,RAJKIYAKRIT P S SUNDRO,20130703501,26.81,68.27
JARIDIH,2,9,RAJKIYAKRIT P S BALUDIH,20130701804,25.10,UPG P S ARATAND,20130703602,28.25,82.52
JARIDIH,3,3,SSA NPS GADGAD KOCHA,20130703006,31.83,RAJKIYAKRIT P S RORIYA,20130700101,35.20,71.66
KASMAR,1,9,UPG P S NICHHANI,20131203602,27.06,UPG P S BRAHMANDIH,20131206901,34.31,71.90
KASMAR,2,9,UPG P S PIRWATAND,20131202402,27.14,UPG P S MAHUWATOLA,20131203103,34.74,74.49
KASMAR,3,9,UPG P S BANKANARI,20131203503,27.29,UPG P S KAMARHIR,20131202503,33.44,71.70
KASMAR,4,9,UPG P S JOLHAKANARI,20131200904,29.76,RAJKIYAKRIT P S BASARIYA (D-2018),20131202101,32.58,69.75
KASMAR,5,9,UPG P S MERAMHARA,20131206202,31.94,RAJKIYAKRIT P S PADI (D-2018),20131203901,36.42,77.42
KASMAR,6,9,UPG P S BAJARTAND (MADHUKARPUR),20131201104,32.81,RAJKIYAKRIT P S KARKATTA KHURD,20131206301,35.37,76.43
KASMAR,7,9,UPG P S PAGARTAND,20131200806,33.03,UPG P S KATHALTOLA,20131201704,37.94,79.84
KASMAR,8,9,RAJKIYAKRIT P S SINGH PUR,20131205401,33.35,UPG P S MASRIDIH,20131201703,38.21,83.12
KASMAR,9,2,UPG P S MEDHA,20131207601,35.96,RAJKIYAKRIT P S LODHKIYARI,20131206101,36.20,72.54
NAWADIH,1,9,UPG P S BARKIBERA,20130605204,19.01,UPG RAJKIYAKRIT M S LEMBODIH,20130603801,23.55,49.86
NAWADIH,2,9,UPG RAJKIYAKRIT M S DHAMNI,20130603601,19.49,RAJKIYAKRIT M S BHENDRA,20130600102,24.16,53.40
NAWADIH,3,9,RAJKIYAKRIT P S MANPUR,20130608201,19.66,UPG P S BHALGARTAND,20130604202,26.59,56.61
NAWADIH,4,9,UPG P S DOKWATAND,20130603302,23.28,RAJKIYAKRIT P S BARWADIH-2,20130604003,23.68,54.70
NAWADIH,5,9,UPG RAJKIYAKRIT M S BODRO,20130600901,23.39,UPG RAJKIYAKRIT HIGH SCHOOL SURHI,20130604802,28.88,66.28
NAWADIH,6,9,RAJKIYAKRIT P S KATGHARA,20130606501,24.08,RAJKIYAKRIT P S TARATAND,20130600701,26.38,55.07
NAWADIH,7,9,UPG P S BIDWA,20130602702,26.02,SSA NPS PURVI TOLA KHARPITO,20130602105,28.08,61.16
NAWADIH,8,9,UPG RAJKIYAKRIT M S JUNODIH,20130604201,27.06,UPG RAJKIYAKRIT M S BARAI,20130606001,31.03,70.90
NAWADIH,9,9,SSA NPS GHATWARTOLA,20130606102,28.18,UPG P S BANKATWA,20130606004,30.48,66.29
NAWADIH,10,9,RAJKIYAKRIT GOVT. SECONDARY SCHOOL BARIDIH,20130605901,28.70,UPG P S ANDHUA,20130602802,35.22,76.39
NAWADIH,11,9,SSA NPS DARJI MUHALLA,20130606206,32.07,UPG RAJKIYAKRIT M S KACHHO,20130601801,38.42,81.12
NAWADIH,12,9,RAJKIYAKRIT GOVT. SECONDARY SCHOOL PIPRADIH,20130602801,34.92,RAJKIYAKRIT GOVT. SECONDARY SCHOOL MUNGORANGAMATI,20130601301,41.48,91.04
NAWADIH,13,9,UPG P S DHAWAYA,20130606608,35.87,UPG M S AMBACHUA,20130606403,40.27,89.67
NAWADIH,14,5,UPG RAJKIYAKRIT HIGH SCHOOL GONIYATO,20130605701,37.67,UPG RAJKIYAKRIT M S PARSA BEDA,20130605501,38.70,83.95
PETARWAR,1,9,RAJKIYAKRIT M S PICHHARI,20131100301,19.89,UPG RAJKIYAKRIT M S DAHUWA,20131105701,25.05,59.03
PETARWAR,2,9,UPG RAJKIYAKRIT M S CHHAPARGARHA,20131102901,25.62,SSA NPS BHELWATAND,20131106303,36.37,75.83
PETARWAR,3,9,UPG P S BADKITAND,20131102402,26.49,RAJKIYAKRIT P S GARRI,20131104901,28.25,67.11
PETARWAR,4,9,UPG M S MUSLIM NICHETOLA KHETKO,20131103304,31.12,RAJKIYAKRIT P S GHARWATAND (D-2018),20131101501,35.86,74.23
PETARWAR,5,9,RAJKIYAKRIT P S KOJRAM,20131104801,33.31,UPG RAJKIYAKRIT M S JARUWATAND MAKTAB,20131102702,36.58,78.53
PETARWAR,6,9,RAJKIYAKRIT P S CHANPI (KANYA),20131106601,34.67,UPG RAJKIYKRIT M S LAWAGADHA,20131105601,38.76,88.05
PETARWAR,7,9,UPG RAJKIYAKRIT M S GOPALPUR,20131102101,35.19,UPG RAJKIYAKRIT M S CHARGI,20131106401,40.57,87.07
PETARWAR,8,9,UPG RAJKIYAKRIT M S JHIRKE,20131106201,36.58,UPG RAJKIYAKRIT M S CHIPUDAAG,20131105501,36.72,85.85
