"No","Block","UDISE","School Name","Category","Tables","Chairs","Latitude","Longitude","Google Maps Link"
"1","CHAS","20130313701","BASIC SCHOOL DABARTUPRA","Primary with Upper Primary","4","4","23.527704","86.218517","https://www.google.com/maps?q=23.527704,86.218517"
"2","CHAS","20130317501","PM SHRI RAJKIYAKRIT M S MARAFARI","Primary with Upper Primary","4","4","23.640628","86.119188","https://www.google.com/maps?q=23.640628,86.119188"
"3","CHAS","20130326501","PM SHRI UPG RAJKIYAKRIT M S BHARRA URDU","Primary with Upper Primary","4","4","23.651944","86.163803","https://www.google.com/maps?q=23.651944,86.163803"
"4","CHAS","20130329304","RAJKIYAKRIT ADARSH M S YODHADIH","Primary with Upper Primary","4","4","23.627306","86.185775","https://www.google.com/maps?q=23.627306,86.185775"
"5","CHAS","20130312201","RAJKIYAKRIT M S BIJULIYA","Primary with Upper Primary","4","4","23.670685","86.283009","https://www.google.com/maps?q=23.670685,86.283009"
"6","CHAS","20130317601","RAJKIYAKRIT M S B.M.P-4","Primary with Upper Primary","4","4","23.637007","86.132885","https://www.google.com/maps?q=23.637007,86.132885"
"7","CHAS","20130328604","RAJKIYAKRIT M S CHAS","Primary with Upper Primary","4","4","23.636258","86.164928","https://www.google.com/maps?q=23.636258,86.164928"
"8","CHAS","20130314502","RAJKIYAKRIT M S DHANDABAR","Primary with Upper Primary","4","4","23.662237","86.25534","https://www.google.com/maps?q=23.662237,86.25534"
"9","CHAS","20130300101","RAJKIYAKRIT M S GHATIYALI","Primary with Upper Primary","4","4","23.585172","86.126153","https://www.google.com/maps?q=23.585172,86.126153"
"10","CHAS","20130319601","RAJKIYAKRIT M S GORABALI","Primary with Upper Primary","4","4","23.666919","86.048603","https://www.google.com/maps?q=23.666919,86.048603"
"11","CHAS","20130311101","RAJKIYAKRIT M S HARIDIH","Primary with Upper Primary","4","4","23.580197","86.244355","https://www.google.com/maps?q=23.580197,86.244355"
"12","CHAS","20130326901","RAJKIYAKRIT M S JAMGORIA","Primary with Upper Primary","4","4","23.645548","86.202904","https://www.google.com/maps?q=23.645548,86.202904"
"13","CHAS","20130304801","RAJKIYAKRIT M S KANDRA","Primary with Upper Primary","4","4","23.597279","86.189316","https://www.google.com/maps?q=23.597279,86.189316"
"14","CHAS","20130312701","RAJKIYAKRIT M S KHAMARBENDI","Primary with Upper Primary","4","4","23.591492","86.24781","https://www.google.com/maps?q=23.591492,86.24781"
"15","CHAS","20130310501","RAJKIYAKRIT M S KURA","Primary with Upper Primary","4","4","23.57356","86.210365","https://www.google.com/maps?q=23.57356,86.210365"
"16","CHAS","20130306405","RAJKIYAKRIT M S KURMA","Primary with Upper Primary","4","4","23.543705","86.162691","https://www.google.com/maps?q=23.543705,86.162691"
"17","CHAS","20130320401","RAJKIYAKRIT M S LAKRAKHANDA","Primary with Upper Primary","4","4","23.654247","86.114906","https://www.google.com/maps?q=23.654247,86.114906"
"18","CHAS","20130314101","RAJKIYAKRIT M S PUNDRU","Primary with Upper Primary","4","4","23.540872","86.282611","https://www.google.com/maps?q=23.540872,86.282611"
"19","CHAS","20130314901","RAJKIYAKRIT M S PUPUNAKI","Primary with Upper Primary","4","4","23.702946","86.203932","https://www.google.com/maps?q=23.702946,86.203932"
"20","CHAS","20130320301","RAJKIYAKRIT M S RAILWAY","Primary with Upper Primary","4","4","23.661008","86.081024","https://www.google.com/maps?q=23.661008,86.081024"
"21","CHAS","20130327002","RAJKIYAKRIT M S SALAGIDIH","Primary with Upper Primary","4","4","23.633276","86.194794","https://www.google.com/maps?q=23.633276,86.194794"
"22","CHAS","20130307431","RAJKIYAKRIT M S SECTOR-2","Primary with Upper Primary","4","4","23.652875","86.136386","https://www.google.com/maps?q=23.652875,86.136386"
"23","CHAS","20130319501","RAJKIYAKRIT M S SECTOR-4","Primary with Upper Primary","4","4","23.670133","86.155062","https://www.google.com/maps?q=23.670133,86.155062"
"24","CHAS","20130310601","RAJKIYAKRIT M S SILFOR","Primary with Upper Primary","4","4","23.573122","86.266193","https://www.google.com/maps?q=23.573122,86.266193"
"25","CHAS","20130310701","RAJKIYAKRIT M S TURIDIH","Primary with Upper Primary","4","4","23.549647","86.232381","https://www.google.com/maps?q=23.549647,86.232381"
"26","CHAS","20130315402","UPG M S GOUSNAGAR","Primary with Upper Primary","4","4","23.640151","86.099303","https://www.google.com/maps?q=23.640151,86.099303"
"27","CHAS","20130322101","UPG RAJKIYAKRIT M S AGARDIH (URDU)","Primary with Upper Primary","4","4","23.701565","86.127784","https://www.google.com/maps?q=23.701565,86.127784"
"28","CHAS","20130302202","UPG RAJKIYAKRIT M S AMURAMU","Primary with Upper Primary","4","4","23.518611","86.152817","https://www.google.com/maps?q=23.518611,86.152817"
"29","CHAS","20130328903","UPG RAJKIYAKRIT M S ASANSOL","Primary with Upper Primary","4","4","23.614911","86.165813","https://www.google.com/maps?q=23.614911,86.165813"
"30","CHAS","20130317901","UPG RAJKIYAKRIT M S AZADNAGAR","Primary with Upper Primary","4","4","23.660664","86.110369","https://www.google.com/maps?q=23.660664,86.110369"
"31","CHAS","20130313601","UPG RAJKIYAKRIT MS BABUDIH (URDU)","Primary with Upper Primary","4","4","23.576028","86.290738","https://www.google.com/maps?q=23.576028,86.290738"
"32","CHAS","20130317401","UPG RAJKIYAKRIT M S BANSIMLI","Primary with Upper Primary","4","4","23.628926","86.083893","https://www.google.com/maps?q=23.628926,86.083893"
"33","CHAS","20130313801","UPG RAJKIYAKRIT M S BARPOKHAR","Primary with Upper Primary","4","4","23.574067","86.226175","https://www.google.com/maps?q=23.574067,86.226175"
"34","CHAS","20130316701","UPG RAJKIYAKRIT M S BARUDIH","Primary with Upper Primary","4","4","23.596746","86.064254","https://www.google.com/maps?q=23.596746,86.064254"
"35","CHAS","20130315602","UPG RAJKIYAKRIT M S BASTEJI","Primary with Upper Primary","4","4","23.685699","86.136899","https://www.google.com/maps?q=23.685699,86.136899"
"36","CHAS","20130327501","UPG RAJKIYAKRIT M S BAURITOLA","Primary with Upper Primary","4","4","23.635596","86.167313","https://www.google.com/maps?q=23.635596,86.167313"
"37","CHAS","20130308701","UPG RAJKIYAKRIT M S BELUNJA","Primary with Upper Primary","4","4","23.686369","86.274941","https://www.google.com/maps?q=23.686369,86.274941"
"38","CHAS","20130309501","UPG RAJKIYAKRIT M S BELUT","Primary with Upper Primary","4","4","23.685408","86.260917","https://www.google.com/maps?q=23.685408,86.260917"
"39","CHAS","20130308101","UPG RAJKIYAKRIT M S BENDI","Primary with Upper Primary","4","4","23.597","86.233153","https://www.google.com/maps?q=23.597,86.233153"
"40","CHAS","20130300201","UPG RAJKIYAKRIT M S BHANDARDIH CHAS 1","Primary with Upper Primary","4","4","23.569626","86.137924","https://www.google.com/maps?q=23.569626,86.137924"
"41","CHAS","20130315101","UPG RAJKIYAKRIT M S BHANDRO (BALIKA)","Primary with Upper Primary","4","4","23.562048","86.215588","https://www.google.com/maps?q=23.562048,86.215588"
"42","CHAS","20130309001","UPG RAJKIYAKRIT M S BHANGABANDH","Primary with Upper Primary","4","4","23.644407","86.294759","https://www.google.com/maps?q=23.644407,86.294759"
"43","CHAS","20130305802","UPG RAJKIYAKRIT M S BHANGABAZAR CHAS-1","Primary with Upper Primary","4","4","23.577979","86.165522","https://www.google.com/maps?q=23.577979,86.165522"
